"1 CODE",Group#1,specific Function,specific Tense,specific Voice,specific Mood,specific Person,specific Case,specific Number,specific Gender,specific Extra,12-CODE again,Group#2,Function,Tense,Voice,Mood,Person,Case,Number,Gender,Extra,23-CODE again,Group#3,Function explained,Tense explained,Voice explained,Mood explained,Person explained,Case explained,Number explained,Gender explained,Extra explained,34-CODE again,Group#4,Function in description,Tense in description,Voice in description,Mood in description,Person in description,Case in description,Number in description,Gender in description,Extra in description,45-CODE again,Group#5,Explanation,Order for Description,Example (“e.g….”),Shorter Example,,,,,,
A-APF,-1,Adjective,,,,,Accusative,Plural,Feminine,,A-APF,-2,Adjective,,,,,Case,Number,Gender,,A-APF,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are female or take a feminine form,,A-APF,-4,DESCRIBING,,,,,that are having something done to them,people or things,female,,A-APF,-5,DESCRIBING female people or things that are having something done to them ,154362,"giving _wise_ women to them","giving _wise_ women to them",Adjective Accusative Plural Feminine ,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Feminine,,
A-APF-C,-1,Adjective,,,,,Accusative,Plural,Feminine,Comparative,A-APF-C,-2,Adjective,,,,,Case,Number,Gender,Extra,A-APF-C,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are female or take a feminine form,comparison withother people or things,A-APF-C,-4,DESCRIBING,,,,,that are having something done to them,people or things,female,"comparatively‚",A-APF-C,-5,"DESCRIBING comparatively‚ female people or things that are having something done to them ",154362,"giving _wiser_ women to them","giving _wiser_ women to them",Adjective Accusative Plural Feminine Comparative,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Feminine; Extra=Comparative,,
A-APF-LG,-1,Adjective,,,,,Accusative,Plural,Feminine,Location Gentilic,A-APF-LG,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APF-LG,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are female or take a feminine form,they are of a group who come from this place,A-APF-LG,-4,DESCRIBING those from a named location:,,,,,that are having something done to them,people or things,female,,A-APF-LG,-5,DESCRIBING those from a named location: female people or things that are having something done to them ,154362,"giving _wise_ women to them","giving _wise_ women to them",Adjective Accusative Plural Feminine Location Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Feminine; Name type=Location Gentilic,,
A-APF-NUI,-1,Adjective,,,,,Accusative,Plural,Feminine,Numeral,A-APF-NUI,-2,Adjective,,,,,Case,Number,Gender,Extra,A-APF-NUI,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are female or take a feminine form,how many of them,A-APF-NUI,-4,DESCRIBING,,,,,that are having something done to them,people or things,female,"numerically‚",A-APF-NUI,-5,"DESCRIBING numerically‚ female people or things that are having something done to them ",154362,"giving _wiser_ women to them","giving _wiser_ women to them",Adjective Accusative Plural Feminine Numeral,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Feminine; Extra=Numeral,,
A-APF-PG,-1,Adjective,,,,,Accusative,Plural,Feminine,Person Gentilic,A-APF-PG,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APF-PG,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are female or take a feminine form,they are of a group related to this person,A-APF-PG,-4,DESCRIBING those related to a named person: ,,,,,that are having something done to them,people or things,female,,A-APF-PG,-5,DESCRIBING those related to a named person: female people or things that are having something done to them ,154362,"giving _wise_ women to them","giving _wise_ women to them",Adjective Accusative Plural Feminine Person Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Feminine; Name type=Person Gentilic,,
A-APM,-1,Adjective,,,,,Accusative,Plural,Masculine,,A-APM,-2,Adjective,,,,,Case,Number,Gender,,A-APM,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,,A-APM,-4,DESCRIBING,,,,,that are having something done to them,people or things,male,,A-APM,-5,DESCRIBING male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine ,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine,,
A-APM-C,-1,Adjective,,,,,Accusative,Plural,Masculine,Comparative,A-APM-C,-2,Adjective,,,,,Case,Number,Gender,Extra,A-APM-C,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,comparison withother people or things,A-APM-C,-4,DESCRIBING,,,,,that are having something done to them,people or things,male,"comparatively‚",A-APM-C,-5,"DESCRIBING comparatively‚ male people or things that are having something done to them ",154362,"giving _wiser_ men to them","giving _wiser_ men to them",Adjective Accusative Plural Masculine Comparative,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Extra=Comparative,,
A-APM-G,-1,Adjective,,,,,Accusative,Plural,Masculine,Gentilic,A-APM-G,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APM-G,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,they are of a group known by this name,A-APM-G,-4,DESCRIBING a named group of,,,,,that are having something done to them,people or things,male,,A-APM-G,-5,DESCRIBING a named group of male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Name type=Gentilic,,
A-APM-L,-1,Adjective,,,,,Accusative,Plural,Masculine,Location,A-APM-L,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APM-L,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,they come from this place,A-APM-L,-4,DESCRIBING a named location:,,,,,that are having something done to them,people or things,male,,A-APM-L,-5,DESCRIBING a named location: male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine Location,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Name type=Location,,
A-APM-LG,-1,Adjective,,,,,Accusative,Plural,Masculine,Location Gentilic,A-APM-LG,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APM-LG,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,they are of a group who come from this place,A-APM-LG,-4,DESCRIBING those from a named location:,,,,,that are having something done to them,people or things,male,,A-APM-LG,-5,DESCRIBING those from a named location: male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine Location Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Name type=Location Gentilic,,
A-APM-NUI,-1,Adjective,,,,,Accusative,Plural,Masculine,Numeral,A-APM-NUI,-2,Adjective,,,,,Case,Number,Gender,Extra,A-APM-NUI,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,how many of them,A-APM-NUI,-4,DESCRIBING,,,,,that are having something done to them,people or things,male,"numerically‚",A-APM-NUI,-5,"DESCRIBING numerically‚ male people or things that are having something done to them ",154362,"giving _ten_ men to them","giving _ten_ men to them",Adjective Accusative Plural Masculine Numeral,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Extra=Numeral,,
A-APM-PG,-1,Adjective,,,,,Accusative,Plural,Masculine,Person Gentilic,A-APM-PG,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APM-PG,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,they are of a group related to this person,A-APM-PG,-4,DESCRIBING those related to a named person: ,,,,,that are having something done to them,people or things,male,,A-APM-PG,-5,DESCRIBING those related to a named person: male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine Person Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Name type=Person Gentilic,,
A-APM-TG,-1,Adjective,,,,,Accusative,Plural,Masculine,Title Gentilic,A-APM-TG,-2,Adjective,,,,,Case,Number,Gender,Name type,A-APM-TG,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are male or take a masculine form,they are of a group of this type,A-APM-TG,-4,DESCRIBING those of a type of group: ,,,,,that are having something done to them,people or things,male,of a type of group,A-APM-TG,-5,DESCRIBING those of a type of group: male people or things that are having something done to them ,154362,"giving _wise_ men to them","giving _wise_ men to them",Adjective Accusative Plural Masculine Title Gentilic,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Masculine; Name type=Title Gentilic,,
A-APN,-1,Adjective,,,,,Accusative,Plural,Neuter,,A-APN,-2,Adjective,,,,,Case,Number,Gender,,A-APN,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are neuter,,A-APN,-4,DESCRIBING,,,,,that are having something done to them,people or things,neuter,,A-APN,-5,DESCRIBING neuter people or things that are having something done to them ,154362,"giving _wise_ nations to them","giving _wise_ nations to them",Adjective Accusative Plural Neuter ,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Neuter,,
A-APN-C,-1,Adjective,,,,,Accusative,Plural,Neuter,Comparative,A-APN-C,-2,Adjective,,,,,Case,Number,Gender,Extra,A-APN-C,-3,a description of people or things,,,,,they are having something done to them,there are two or more of them,they are neuter,comparison withother people or things,A-APN-C,-4,DESCRIBING,,,,,that are having something done to them,people or things,neuter,"comparatively‚",A-APN-C,-5,"DESCRIBING comparatively‚ neuter people or things that are having something done to them ",154362,"giving _wiser_ nations to them","giving _wiser_ nations to them",Adjective Accusative Plural Neuter Comparative,1 6 7 8 9,Function=Adjective; Case=Accusative; Number=Plural; Gender=Neuter; Extra=Comparative,,
